brand,model,vehicle_age,year,mileage,fuel_type,transmission,owner_count,price,region,listing_date,days_to_sale,mileage_per_year,is_luxury,listing_month,listing_year,listing_season,listing_date_str
Maruti Suzuki,Alto,9,2015,120000.0,Petrol,Manual,3,120000.0,Metro,2026-06-12 04:34:33.565205,23,13333.333333333334,0,6,2026,Summer,2026-06-12
Hyundai,Grand,5,2019,20000.0,Petrol,Manual,2,550000.0,North,2026-03-21 22:39:07.565205,29,4000.0,0,3,2026,Spring,2026-03-21
Hyundai,i20,11,2013,60000.0,Petrol,Manual,3,215000.0,South,2026-06-13 15:55:19.565205,18,5454.545454545455,0,6,2026,Summer,2026-06-13
Maruti Suzuki,Alto,9,2015,37000.0,Petrol,Manual,3,226000.0,East,2026-07-24 12:40:36.565205,15,4111.111111111111,0,7,2026,Summer,2026-07-24
Ford,Ecosport,6,2018,30000.0,Diesel,Manual,2,570000.0,West,2026-05-18 16:00:57.565205,67,5000.0,0,5,2026,Spring,2026-05-18
Maruti Suzuki,Wagon R,8,2016,35000.0,Petrol,Manual,3,350000.0,Central,2026-02-17 18:36:01.565205,36,4375.0,0,2,2026,Winter,2026-02-17
Hyundai,i10,8,2016,40000.0,Petrol,Manual,3,315000.0,Metro,2025-10-12 12:39:18.565205,14,5000.0,0,10,2025,Fall,2025-10-12
Maruti Suzuki,Wagon R,3,2021,17512.0,Petrol,Manual,1,410000.0,North,2026-07-23 02:34:59.565205,30,5837.333333333333,0,7,2026,Summer,2026-07-23
Hyundai,Venue,2,2022,20000.0,Petrol,Automatic,1,1050000.0,South,2026-03-04 11:40:55.565205,96,10000.0,0,3,2026,Spring,2026-03-04
Maruti Suzuki,Swift,4,2020,28321.0,Petrol,Manual,2,511000.0,East,2026-07-18 02:02:47.565205,8,7080.25,0,7,2026,Summer,2026-07-18
Hyundai,Verna,8,2016,65278.0,Diesel,Manual,3,425000.0,West,2026-08-20 18:03:00.565205,13,8159.75,0,8,2026,Summer,2026-08-20
Renault,Duster,5,2019,50000.0,Diesel,Manual,2,750000.0,Central,2026-06-21 05:28:17.565205,96,10000.0,0,6,2026,Summer,2026-06-21
Mini,Cooper,4,2020,6000.0,Petrol,Automatic,2,3250000.0,Metro,2026-01-06 02:33:08.565205,150,1500.0,1,1,2026,Winter,2026-01-06
Maruti Suzuki,Ciaz,5,2019,76000.0,Diesel,Manual,2,650000.0,North,2026-05-20 14:39:16.565205,43,15200.0,0,5,2026,Spring,2026-05-20
Maruti Suzuki,Swift,5,2019,20000.0,Diesel,Manual,2,627000.0,South,2026-01-16 12:05:19.565205,33,4000.0,0,1,2026,Winter,2026-01-16
Mercedes-Benz,C-Class,7,2017,65000.0,Diesel,Automatic,2,1425000.0,East,2026-05-21 04:52:34.565205,29,9285.714285714286,1,5,2026,Spring,2026-05-21
Maruti Suzuki,Swift,7,2017,62200.0,Diesel,Manual,2,425000.0,West,2025-12-11 08:52:01.565205,20,8885.714285714286,0,12,2025,Winter,2025-12-11
Toyota,Innova,8,2016,110000.0,Diesel,Manual,3,605000.0,Central,2025-11-13 07:42:54.565205,14,13750.0,0,11,2025,Fall,2025-11-13
Maruti Suzuki,Baleno,6,2018,20000.0,Petrol,Manual,2,600000.0,Metro,2026-02-25 03:53:56.565205,44,3333.3333333333335,0,2,2026,Winter,2026-02-25
Maruti Suzuki,Swift Dzire,5,2019,40000.0,Petrol,Manual,2,575000.0,North,2026-04-19 07:06:16.565205,21,8000.0,0,4,2026,Spring,2026-04-19
Volkswagen,Vento,8,2016,47000.0,Petrol,Manual,3,425000.0,South,2025-11-07 23:54:02.565205,42,5875.0,0,11,2025,Fall,2025-11-07
Maruti Suzuki,Alto,8,2016,25000.0,Petrol,Manual,3,230000.0,East,2025-11-25 08:09:06.565205,7,3125.0,0,11,2025,Fall,2025-11-25
Hyundai,Creta,2,2022,15000.0,Diesel,Manual,1,1225000.0,West,2025-10-25 09:03:58.565205,46,7500.0,0,10,2025,Fall,2025-10-25
Honda,City,6,2018,50000.0,Petrol,Manual,2,750000.0,Central,2025-12-31 22:03:40.565205,48,8333.333333333334,0,12,2025,Winter,2025-12-31
Mahindra,Bolero,10,2014,25000.0,Diesel,Manual,3,350000.0,Metro,2025-09-17 20:40:24.565205,28,2500.0,0,9,2025,Fall,2025-09-17
Maruti Suzuki,Swift Dzire,6,2018,90000.0,Diesel,Manual,2,600000.0,North,2026-03-20 10:31:45.565205,49,15000.0,0,3,2026,Spring,2026-03-20
Maruti Suzuki,Swift Dzire,8,2016,45000.0,Diesel,Manual,3,390000.0,South,2025-10-01 06:43:41.565205,25,5625.0,0,10,2025,Fall,2025-10-01
Honda,City,14,2010,77253.0,Petrol,Manual,3,145000.0,East,2026-01-07 21:55:02.565205,20,5518.071428571428,0,1,2026,Winter,2026-01-07
Hyundai,i20,3,2021,25000.0,Petrol,Manual,1,700000.0,West,2025-11-21 05:30:58.565205,33,8333.333333333334,0,11,2025,Fall,2025-11-21
Toyota,Fortuner,8,2016,110000.0,Diesel,Manual,3,1150000.0,Central,2026-09-02 22:23:53.565205,51,13750.0,0,9,2026,Fall,2026-09-02
Renault,KWID,4,2020,30000.0,Petrol,Manual,2,340000.0,Metro,2026-01-06 21:17:28.565205,27,7500.0,0,1,2026,Winter,2026-01-06
Honda,Amaze,5,2019,39993.0,Petrol,Manual,2,465000.0,North,2026-01-02 08:51:57.565205,17,7998.6,0,1,2026,Winter,2026-01-02
Hyundai,Santro,12,2012,80000.0,Petrol,Manual,3,125000.0,South,2025-11-22 03:15:35.565205,14,6666.666666666667,0,11,2025,Fall,2025-11-22
Mahindra,XUV500,9,2015,185000.0,Diesel,Manual,3,600000.0,East,2026-01-17 20:12:39.565205,37,20555.555555555555,0,1,2026,Winter,2026-01-17
Maruti Suzuki,Swift Dzire,8,2016,90000.0,Diesel,Manual,3,380000.0,West,2025-11-26 10:14:19.565205,44,11250.0,0,11,2025,Fall,2025-11-26
Hyundai,i20,3,2021,15000.0,Diesel,Manual,1,850000.0,Central,2026-08-14 19:08:22.565205,96,5000.0,0,8,2026,Summer,2026-08-14
Hyundai,i20,3,2021,40000.0,Petrol,Manual,1,598000.0,Metro,2026-02-16 21:06:32.565205,20,13333.333333333334,0,2,2026,Winter,2026-02-16
Honda,City,6,2018,31180.0,Petrol,Automatic,2,700000.0,North,2026-05-23 11:47:04.565205,33,5196.666666666667,0,5,2026,Spring,2026-05-23
Maruti Suzuki,Swift Dzire,7,2017,56000.0,Diesel,Manual,2,410000.0,South,2026-08-29 23:35:40.565205,20,8000.0,0,8,2026,Summer,2026-08-29
Maruti Suzuki,Baleno,5,2019,52427.0,Petrol,Automatic,2,590000.0,East,2026-07-22 07:23:55.565205,38,10485.4,0,7,2026,Summer,2026-07-22
Mahindra,Bolero,1,2023,40000.0,Diesel,Manual,1,850000.0,West,2026-02-10 01:28:26.565205,47,40000.0,0,2,2026,Winter,2026-02-10
Mahindra,KUV100,3,2021,17000.0,Petrol,Manual,1,550000.0,Central,2026-05-06 18:13:14.565205,34,5666.666666666667,0,5,2026,Spring,2026-05-06
