brand,model,year,mileage,fuel_type,transmission,owner_count,region,price,listing_date,days_to_sale
BMW,M3,2015,138305,Petrol,Automatic,2,North,15550.0,2025-12-10,43
Ford,Mustang,2012,136031,Petrol,Automatic,1,Metro,4100.0,2026-07-31,34
Mercedes-Benz,C-Class,2021,31015,Hybrid,Automatic,1,East,30650.0,2026-02-15,15
BMW,5 Series,2020,44406,Hybrid,Automatic,1,Metro,32200.0,2026-06-01,9
Ford,Escape,2022,55722,Petrol,Automatic,1,North,20950.0,2025-11-30,18
Chevrolet,Silverado,2022,34365,Petrol,Manual,1,Metro,27450.0,2026-03-14,21
Ford,Explorer,2021,45103,Electric,Manual,2,South,20550.0,2025-11-22,3
Toyota,Camry,2017,119022,Hybrid,Automatic,2,Central,9600.0,2026-05-20,24
Hyundai,Sonata,2021,41015,Hybrid,Automatic,2,Metro,18200.0,2025-10-19,42
Ford,Explorer,2012,112301,Petrol,Automatic,1,South,4550.0,2026-06-10,13
Mazda,CX-9,2016,143595,Diesel,Automatic,4,East,11800.0,2025-11-20,36
Mercedes-Benz,GLE,2020,59498,Petrol,Automatic,1,Central,30500.0,2026-03-29,36
Chevrolet,Tahoe,2020,65970,Petrol,Automatic,2,South,31150.0,2026-02-12,16
Toyota,Highlander,2022,39344,Hybrid,Automatic,1,North,29950.0,2026-04-05,23
Nissan,Altima,2023,13010,Petrol,Manual,1,Metro,22200.0,2026-07-08,26
Honda,Accord,2019,54850,Diesel,Automatic,1,East,16200.0,2026-01-02,21
Audi,Q7,2020,38048,Electric,Automatic,2,East,34000.0,2026-04-26,30
Tesla,Model S,2020,117805,Electric,Automatic,1,South,44950.0,2025-12-22,26
Porsche,Panamera,2019,82887,Petrol,Manual,3,North,47800.0,2026-04-10,59
Nissan,Altima,2023,15601,Petrol,Automatic,1,West,23300.0,2026-05-31,46
Tesla,Model X,2013,151897,Electric,Automatic,2,West,14000.0,2025-09-28,48
Chevrolet,Malibu,2020,68952,Electric,Automatic,2,South,12750.0,2026-04-12,51
Mercedes-Benz,E-Class,2013,186477,Petrol,Automatic,1,South,8250.0,2026-03-08,76
Honda,Accord,2016,113838,Hybrid,Automatic,3,North,8500.0,2026-01-12,32
Mercedes-Benz,GLC,2018,136529,Hybrid,Automatic,4,Metro,19650.0,2026-04-16,66
Toyota,Corolla,2012,194786,Petrol,Automatic,2,West,2650.0,2026-02-26,140
Ford,Escape,2014,177826,Petrol,Automatic,1,South,3350.0,2025-11-25,124
Kia,Telluride,2022,20055,Hybrid,Automatic,2,East,31050.0,2026-02-10,46
Honda,CR-V,2022,30824,Petrol,Manual,1,Central,21650.0,2026-02-12,38
Porsche,911,2017,161013,Petrol,Automatic,2,Central,58450.0,2025-10-13,100
Tesla,Model Y,2021,42166,Electric,Automatic,1,Central,31750.0,2025-12-20,26
Audi,Q7,2018,49040,Petrol,Automatic,1,East,26350.0,2025-12-05,63
